,source_image,source_mask,target_image,target_mask
207,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/046_ST_V10A20_011_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/046_ST_V10A20_011_1_01.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/046_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/046_MP_F3.vsi - 20x_BF_01.tif
208,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/046_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/046_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/046 M+ V6 HES.vsi - 20x_BF_01.tif
209,/home/data/exports/multiomics/hes_scans/segmented_images/046 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/046 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/046 M- V7 HES.vsi - 20x_BF_01.tif
210,/home/data/exports/multiomics/hes_scans/segmented_images/046 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/046 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/segmented_images/046 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/046 MM V8_01.vsi - 20x_BF_01.tif
211,/home/data/exports/multiomics/mts/segmented_images/046 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/046 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/046_LPS_F9_094744_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/046_LPS_F9_094744_202205.vsi - 40x_BF_01.tif
212,/home/data/exports/multiomics/ihc/lps/segmented_images/046_LPS_F9_094744_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/046_LPS_F9_094744_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/046_LTA_F10_100202_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/046_LTA_F10_100202_202205.vsi - 40x_BF_01.tif
213,/home/data/exports/multiomics/ihc/lta/segmented_images/046_LTA_F10_100202_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/046_LTA_F10_100202_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R11_1.vsi - 20x_01.tif
214,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R21_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R21_1.vsi - 20x_01.tif
215,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R1_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R1_4.vsi - 20x_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/002_ST_V19S23_002_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/002_ST_V19S23_002_4_04.tif
216,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/002_ST_V19S23_002_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/002_ST_V19S23_002_4_04.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/002_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/002_MP_F3.vsi - old_05 - 20x_BF_04.tif
217,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/002_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/002_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/002 M+ V6 HES.vsi - 20x_BF_04.tif
218,/home/data/exports/multiomics/hes_scans/segmented_images/002 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/002 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/002 M- V7 HES.vsi - 20x_BF_04.tif
219,/home/data/exports/multiomics/hes_scans/segmented_images/002 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/002 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/segmented_images/002 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/002 MM V8_01.vsi - 20x_BF_04.tif
220,/home/data/exports/multiomics/mts/segmented_images/002 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/002 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/002_LPS_F9_094135_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/002_LPS_F9_094135_202205.vsi - 40x_BF_04.tif
221,/home/data/exports/multiomics/ihc/lps/segmented_images/002_LPS_F9_094135_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/002_LPS_F9_094135_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/002_LTA_F10_095442_202205.vsi old_03 - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/002_LTA_F10_095442_202205.vsi old_03 - 40x_BF_04.tif
222,/home/data/exports/multiomics/ihc/lta/segmented_images/002_LTA_F10_095442_202205.vsi old_03 - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/002_LTA_F10_095442_202205.vsi old_03 - 40x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R11_4.vsi - 20x_04.tif
223,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R21_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R21_4.vsi - 20x_04.tif
224,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R1_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R1_3.vsi - 20x_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/001_ST_V19S23_106_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/001_ST_V19S23_106_3_03.tif
225,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/001_ST_V19S23_106_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/001_ST_V19S23_106_3_03.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/001_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/001_MP_F3.vsi - 20x_BF_03.tif
226,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/001_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/001_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/001 M+ V6 HES.vsi - 20x_BF_03.tif
227,/home/data/exports/multiomics/hes_scans/segmented_images/001 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/001 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/001 M- V7 HES.vsi - 20x_BF_03.tif
228,/home/data/exports/multiomics/hes_scans/segmented_images/001 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/001 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/segmented_images/001  MM V8.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/001  MM V8.vsi - 20x_BF_03.tif
229,/home/data/exports/multiomics/mts/segmented_images/001  MM V8.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/001  MM V8.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/001_LPS_F9_094012_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/001_LPS_F9_094012_202205.vsi - 40x_BF_03.tif
230,/home/data/exports/multiomics/ihc/lps/segmented_images/001_LPS_F9_094012_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/001_LPS_F9_094012_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/001_LTA_F10_095324_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/001_LTA_F10_095324_202205.vsi - 40x_BF_03.tif
231,/home/data/exports/multiomics/ihc/lta/segmented_images/001_LTA_F10_095324_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/001_LTA_F10_095324_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R11_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R11_3.vsi - 20x_03.tif
232,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R11_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R11_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R21_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R21_3.vsi - 20x_03.tif
233,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/047_ST_V10A20_007_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/047_ST_V10A20_007_1_01.tif
234,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/047_ST_V10A20_007_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/047_ST_V10A20_007_1_01.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/047_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/047_MP_F3.vsi - 20x_BF_01.tif
235,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/047_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/047_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/047 M+ V6 HES.vsi - 20x_BF_01.tif
236,/home/data/exports/multiomics/hes_scans/segmented_images/047 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/047 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/047 M- V7 HES.vsi - 20x_BF_01.tif
237,/home/data/exports/multiomics/hes_scans/segmented_images/047 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/047 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/segmented_images/047 MM V8.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/047 MM V8.vsi - 20x_BF_01.tif
238,/home/data/exports/multiomics/mts/segmented_images/047 MM V8.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/047 MM V8.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/047_LPS_F9_095009_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/047_LPS_F9_095009_202205.vsi - 40x_BF_01.tif
239,/home/data/exports/multiomics/ihc/lps/segmented_images/047_LPS_F9_095009_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/047_LPS_F9_095009_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/047_LTA_F10_100334_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/047_LTA_F10_100334_202205.vsi - 40x_BF_01.tif
240,/home/data/exports/multiomics/ihc/lta/segmented_images/047_LTA_F10_100334_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/047_LTA_F10_100334_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R11_1.vsi - 20x_01.tif
241,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R21_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R21_1.vsi - 20x_01.tif
242,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R1_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R1_1.vsi - 20x_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/048_ST_V10A20_009_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/048_ST_V10A20_009_3_03.tif
243,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/048_ST_V10A20_009_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/048_ST_V10A20_009_3_03.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/048_MP_F3.vsi - old_04 - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/048_MP_F3.vsi - old_04 - 20x_BF_03.tif
244,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/048_MP_F3.vsi - old_04 - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/048_MP_F3.vsi - old_04 - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/048 M+ V6 HES.vsi - 20x_BF_03.tif
245,/home/data/exports/multiomics/hes_scans/segmented_images/048 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/048 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/048 M- V7 HES.vsi - 20x_BF_03.tif
246,/home/data/exports/multiomics/hes_scans/segmented_images/048 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/048 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/segmented_images/048 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/048 MM V8_01.vsi - 20x_BF_03.tif
247,/home/data/exports/multiomics/mts/segmented_images/048 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/048 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/048_LPS_F9_095142_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/048_LPS_F9_095142_202205.vsi - 40x_BF_03.tif
248,/home/data/exports/multiomics/ihc/lps/segmented_images/048_LPS_F9_095142_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/048_LPS_F9_095142_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/048_LTA_F10_100505_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/048_LTA_F10_100505_202205.vsi - 40x_BF_03.tif
249,/home/data/exports/multiomics/ihc/lta/segmented_images/048_LTA_F10_100505_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/048_LTA_F10_100505_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R11_1.vsi - 20x_03.tif
250,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R21_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R21_1.vsi - 20x_03.tif
251,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R1_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R1_2.vsi - 20x_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/001_ST_V19S23_106_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/001_ST_V19S23_106_2_02.tif
252,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/001_ST_V19S23_106_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/001_ST_V19S23_106_2_02.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/001_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/001_MP_F3.vsi - 20x_BF_02.tif
253,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/001_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/001_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/001 M+ V6 HES.vsi - 20x_BF_02.tif
254,/home/data/exports/multiomics/hes_scans/segmented_images/001 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/001 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/001 M- V7 HES.vsi - 20x_BF_02.tif
255,/home/data/exports/multiomics/hes_scans/segmented_images/001 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/001 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/segmented_images/001  MM V8.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/001  MM V8.vsi - 20x_BF_02.tif
256,/home/data/exports/multiomics/mts/segmented_images/001  MM V8.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/001  MM V8.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/001_LPS_F9_094012_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/001_LPS_F9_094012_202205.vsi - 40x_BF_02.tif
257,/home/data/exports/multiomics/ihc/lps/segmented_images/001_LPS_F9_094012_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/001_LPS_F9_094012_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/001_LTA_F10_095324_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/001_LTA_F10_095324_202205.vsi - 40x_BF_02.tif
258,/home/data/exports/multiomics/ihc/lta/segmented_images/001_LTA_F10_095324_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/001_LTA_F10_095324_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R11_2.vsi - 20x_02.tif
259,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R21_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R21_2.vsi - 20x_02.tif
260,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R1_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R1_2.vsi - 20x_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/002_ST_V19S23_002_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/002_ST_V19S23_002_2_02.tif
261,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/002_ST_V19S23_002_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/002_ST_V19S23_002_2_02.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/002_MP_F3.vsi - old_03 - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/002_MP_F3.vsi - old_03 - 20x_BF_02.tif
262,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/002_MP_F3.vsi - old_03 - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/002_MP_F3.vsi - old_03 - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/002 M+ V6 HES.vsi - 20x_BF_02.tif
263,/home/data/exports/multiomics/hes_scans/segmented_images/002 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/002 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/002 M- V7 HES.vsi - 20x_BF_02.tif
264,/home/data/exports/multiomics/hes_scans/segmented_images/002 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/002 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/segmented_images/002 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/002 MM V8_01.vsi - 20x_BF_02.tif
265,/home/data/exports/multiomics/mts/segmented_images/002 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/002 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/002_LPS_F9_094135_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/002_LPS_F9_094135_202205.vsi - 40x_BF_02.tif
268,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R21_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R21_2.vsi - 20x_02.tif
269,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R1_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R1_4.vsi - 20x_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/001_ST_V19S23_106_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/001_ST_V19S23_106_4_04.tif
270,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/001_ST_V19S23_106_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/001_ST_V19S23_106_4_04.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/001_MP_F3.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/001_MP_F3.vsi - 20x_BF_04.tif
271,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/001_MP_F3.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/001_MP_F3.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/001 M+ V6 HES.vsi - 20x_BF_04.tif
272,/home/data/exports/multiomics/hes_scans/segmented_images/001 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/001 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/001 M- V7 HES.vsi - 20x_BF_04.tif
273,/home/data/exports/multiomics/hes_scans/segmented_images/001 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/001 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/segmented_images/001  MM V8.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/001  MM V8.vsi - 20x_BF_04.tif
274,/home/data/exports/multiomics/mts/segmented_images/001  MM V8.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/001  MM V8.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/001_LPS_F9_094012_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/001_LPS_F9_094012_202205.vsi - 40x_BF_04.tif
275,/home/data/exports/multiomics/ihc/lps/segmented_images/001_LPS_F9_094012_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/001_LPS_F9_094012_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/001_LTA_F10_095324_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/001_LTA_F10_095324_202205.vsi - 40x_BF_04.tif
276,/home/data/exports/multiomics/ihc/lta/segmented_images/001_LTA_F10_095324_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/001_LTA_F10_095324_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R11_4.vsi - 20x_04.tif
277,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R21_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R21_4.vsi - 20x_04.tif
